Year,Title,Journal,Authors,Cite,Source
2011,Coherent x-ray generation in relativistic laser/gas jet interactions,"X-ray Lasers and Coherent X-ray Sources: Development and Applications IX …, 2011","AS Pirozhkov, M Kando, TZ Esirkepov, P Gallegos, H Ahmed, EN Ragozin, ...",5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:isU91gLudPYC
2011,Condition of MeV electron bunch generated from argon gas-jet target in the self-modulated laser wakefield regime,"Journal of the Physical Society of Japan 80 (10), 105001, 2011","M Mori, M Kando, H Kotaki, Y Hayashi, S V. Bulanov, J Koga, K Kondo, ...",8,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:IsPWOBWtZBwC
2011,Observation of plasma density dependence of electromagnetic soliton excitation by an intense laser pulse,"Physics of Plasmas 18 (8), 080704, 2011","G Sarri, S Kar, L Romagnani, SV Bulanov, CA Cecchetti, M Galimberti, ...",28,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:4xDN1ZYqzskC
2011,Effect of the Laser Contrast Ratio within Picosecond Timescales on Generating a High-Quality Electron Beam by Laser–Plasma Interaction,"Japanese Journal of Applied Physics 50 (6R), 066401, 2011","H Kotaki, M Kando, I Daito, T Kameshima, K Kawase, L Chen, Y Fukuda, ...",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:Xz60mAmATU4C
2011,On the design of experiments for the study of extreme field limits in the ultra-relativistic interaction of electromagnetic waves with plasmas,"Diode-Pumped High Energy and High Power Lasers; ELI: Ultrarelativistic Laser …, 2011","SV Bulanov, TZ Esirkepov, Y Hayashi, M Kando, H Kiriyama, JK Koga, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:sJsF-0ZLhtgC
2011,Observation and modeling of high resolution spectral features of the inner-shell X-ray emission produced by 10− 10 contrast femtosecond-pulse laser irradiation of argon clusters,"High Energy Density Physics 7 (2), 77-83, 2011","J Colgan, J Abdallah Jr, AY Faenov, TA Pikuz, IY Skobelev, Y Fukuda, ...",31,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:SpbeaW3--B0C
2011,Development of a sub-MeV X-ray source via Compton backscattering,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators …, 2011","K Kawase, M Kando, T Hayakawa, I Daito, S Kondo, T Homma, ...",17,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:AFXcoJnoRH0C
2011,"Interaction of Short Laser Pulses in Wavelength Range from Infrared to X‐ray with Metals, Semiconductors, and Dielectrics","Contributions to Plasma Physics 51 (4), 361-366, 2011","NA Inogamov, AY Faenov, VV Zhakhovskii, IY Skobelev, VA Khokhlov, ...",21,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:c1e4I3QdEKYC
2011,Efficient generation of Xe K-shell x rays by high-contrast interaction with submicrometer clusters,"Optics letters 36 (9), 1614-1616, 2011","Y Hayashi, AS Pirozhkov, M Kando, Y Fukuda, A Faenov, K Kawase, ...",30,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:a9-T7VOCCH8C
2011,Formation of a transient plasma micro optics for two-staged laser wake field acceleration,unknown,"Y Mizuta, A Nishida, S Kajino, R Kodama, S Masuda, T Hosokai, M Kando, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:KsTgnNRry18C
